Name,Type,Industry,Phone,Website,AccountNumber,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry
ACC Corporation 1,Customer,Technology,555-452-1348,www.acc1.com,ACC-0001,28417211,4831,123 Market Street,San Francisco,CA,94105,United States
BCC Corporation 2,Partner,Education,555-940-8689,www.bcc2.com,ACC-0002,24963932,4373,123 Market Street,San Francisco,TX,94105,United States
CCC Corporation 3,Partner,Manufacturing,555-634-4212,www.ccc3.com,ACC-0003,17379351,2736,123 Market Street,San Francisco,WA,94105,United States
DCC Corporation 4,Customer,Finance,555-562-3879,www.dcc4.com,ACC-0004,31018700,2170,123 Market Street,San Francisco,OR,94105,United States
ECC Corporation 5,Customer,Manufacturing,555-960-3486,www.ecc5.com,ACC-0005,41020994,2102,123 Market Street,San Francisco,FL,94105,United States
FCC Corporation 6,Vendor,Healthcare,555-121-6491,www.fcc6.com,ACC-0006,15780278,1412,123 Market Street,San Francisco,MT,94105,United States
GCC Corporation 7,Vendor,Healthcare,555-379-5272,www.gcc7.com,ACC-0007,19615521,3653,123 Market Street,San Francisco,MA,94105,United States
HCC Corporation 8,Partner,Retail,555-478-1188,www.hcc8.com,ACC-0008,16329105,854,123 Market Street,San Francisco,CT,94105,United States
ICC Corporation 9,Prospect,Manufacturing,555-529-9295,www.icc9.com,ACC-0009,27321405,4018,123 Market Street,San Francisco,MI,94105,United States
JCC Corporation 10,Vendor,Healthcare,555-533-7951,www.jcc10.com,ACC-0010,37194300,2857,123 Market Street,San Francisco,AR,94105,United States
KCC Holdings 11,Customer,Technology,555-222-1934,www.kcc11.com,ACC-0011,31944822,1442,123 Market Street,San Francisco,AL,94105,United States
LCC Systems 12,Vendor,Finance,555-443-2284,www.lcc12.com,ACC-0012,12939444,822,123 Market Street,San Francisco,AZ,94105,United States
MCC Group 13,Partner,Retail,555-338-5532,www.mcc13.com,ACC-0013,23482333,1755,123 Market Street,San Francisco,CO,94105,United States
NCC Solutions 14,Prospect,Energy,555-993-1188,www.ncc14.com,ACC-0014,38493211,2303,123 Market Street,San Francisco,GA,94105,United States
OCC Industries 15,Customer,Education,555-882-1199,www.occ15.com,ACC-0015,18233422,922,123 Market Street,San Francisco,NC,94105,United States
PCC Corporation 16,Vendor,Retail,555-229-3341,www.pcc16.com,ACC-0016,49288322,3666,123 Market Street,San Francisco,ND,94105,United States
QCC Corporation 17,Customer,Manufacturing,555-483-1192,www.qcc17.com,ACC-0017,29388344,2003,123 Market Street,San Francisco,SD,94105,United States
RCC Corporation 18,Vendor,Healthcare,555-228-3344,www.rcc18.com,ACC-0018,18288333,899,123 Market Street,San Francisco,NH,94105,United States
SCC Corporation 19,Partner,Technology,555-448-2283,www.scc19.com,ACC-0019,28739922,2555,123 Market Street,San Francisco,NJ,94105,United States
TCC Corporation 20,Customer,Finance,555-774-2241,www.tcc20.com,ACC-0020,39488333,3177,123 Market Street,San Francisco,NM,94105,United States
UCC Enterprises 21,Vendor,Technology,555-338-1182,www.ucc21.com,ACC-0021,23888311,1441,123 Market Street,San Francisco,NV,94105,United States
VCC Global 22,Customer,Retail,555-229-1144,www.vcc22.com,ACC-0022,19888344,1222,123 Market Street,San Francisco,NY,94105,United States
WCC Services 23,Partner,Finance,555-223-8881,www.wcc23.com,ACC-0023,38188322,2032,123 Market Street,San Francisco,OH,94105,United States
XCC Industries 24,Vendor,Healthcare,555-883-2211,www.xcc24.com,ACC-0024,21888310,1565,123 Market Street,San Francisco,OK,94105,United States
YCC Organization 25,Customer,Technology,555-329-1193,www.ycc25.com,ACC-0025,47288355,3977,123 Market Street,San Francisco,OR,94105,United States
ZCC Group 26,Vendor,Manufacturing,555-220-2299,www.zcc26.com,ACC-0026,38488322,2333,123 Market Street,San Francisco,PA,94105,United States
AAC Holdings 27,Customer,Energy,555-338-1111,www.aac27.com,ACC-0027,18288311,944,123 Market Street,San Francisco,RI,94105,United States
ABC Systems 28,Vendor,Technology,555-992-2241,www.abc28.com,ACC-0028,49888322,3888,123 Market Street,San Francisco,SC,94105,United States
ACC Solutions 29,Partner,Education,555-442-5532,www.acc29.com,ACC-0029,28388322,1401,123 Market Street,San Francisco,TN,94105,United States
ADC Corp 30,Customer,Finance,555-118-8821,www.adc30.com,ACC-0030,39288310,2801,123 Market Street,San Francisco,UT,94105,United States
AEC Corporation 31,Vendor,Retail,555-233-3331,www.aec31.com,ACC-0031,19888322,932,123 Market Street,San Francisco,VT,94105,United States
AFC Corporation 32,Customer,Technology,555-882-1992,www.afc32.com,ACC-0032,28388344,2133,123 Market Street,San Francisco,VA,94105,United States
AGC Logistics 33,Partner,Manufacturing,555-444-2211,www.agc33.com,ACC-0033,39888222,2444,123 Market Street,San Francisco,WA,94105,United States
AHC Energy 34,Vendor,Energy,555-188-2299,www.ahc34.com,ACC-0034,22188333,1199,123 Market Street,San Francisco,WI,94105,United States
AIC Health 35,Customer,Healthcare,555-394-4432,www.aic35.com,ACC-0035,32888222,1911,123 Market Street,San Francisco,WV,94105,United States
AJC Retail 36,Vendor,Finance,555-299-1228,www.ajc36.com,ACC-0036,13888333,815,123 Market Street,San Francisco,WY,94105,United States
AKC Manufacturing 37,Partner,Manufacturing,555-339-4432,www.akc37.com,ACC-0037,28388222,1543,123 Market Street,San Francisco,CA,94105,United States
ALC Corp 38,Customer,Education,555-882-2292,www.alc38.com,ACC-0038,19488355,1222,123 Market Street,San Francisco,TX,94105,United States
AMC Systems 39,Vendor,Technology,555-221-1199,www.amc39.com,ACC-0039,48288322,3664,123 Market Street,San Francisco,FL,94105,United States
ANC Solutions 40,Prospect,Technology,555-449-1193,www.anc40.com,ACC-0040,23888344,1123,123 Market Street,San Francisco,MI,94105,United States
AOC Industries 41,Customer,Energy,555-329-2299,www.aoc41.com,ACC-0041,35988322,1441,123 Market Street,San Francisco,WA,94105,United States
APC Global 42,Vendor,Manufacturing,555-228-8844,www.apc42.com,ACC-0042,39988355,2655,123 Market Street,San Francisco,CO,94105,United States
AQC Retail 43,Partner,Retail,555-442-2218,www.aqc43.com,ACC-0043,23888311,821,123 Market Street,San Francisco,GA,94105,United States
ARC Health 44,Vendor,Healthcare,555-299-2293,www.arc44.com,ACC-0044,29888322,1662,123 Market Street,San Francisco,NC,94105,United States
ASC Tech 45,Customer,Technology,555-772-2244,www.asc45.com,ACC-0045,44488333,3011,123 Market Street,San Francisco,ND,94105,United States
